1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,
1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,
1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,0,0,1,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,
Is Output Graph Empty or Complete?: 0
Ratio of Added Edges Over Added + Removed Edges: 1
Changes from Input to Output: 
Added Edge: (0, 4)
Added Edge: (0, 11)
Added Edge: (0, 12)
Added Edge: (0, 22)
Added Edge: (0, 24)
Added Edge: (0, 31)
Added Edge: (0, 35)
Added Edge: (0, 43)
Added Edge: (0, 49)
Added Edge: (0, 51)
Added Edge: (0, 55)
Added Edge: (0, 57)
Added Edge: (1, 13)
Added Edge: (1, 15)
Added Edge: (1, 18)
Added Edge: (1, 20)
Added Edge: (1, 31)
Added Edge: (1, 33)
Added Edge: (1, 36)
Added Edge: (1, 38)
Added Edge: (1, 48)
Added Edge: (1, 51)
Added Edge: (1, 54)
Added Edge: (2, 3)
Added Edge: (2, 14)
Added Edge: (2, 17)
Added Edge: (2, 19)
Added Edge: (2, 22)
Added Edge: (2, 29)
Added Edge: (2, 32)
Added Edge: (2, 39)
Added Edge: (2, 45)
Added Edge: (2, 50)
Added Edge: (2, 53)
Added Edge: (2, 55)
Added Edge: (2, 56)
Added Edge: (2, 59)
Added Edge: (3, 5)
Added Edge: (3, 15)
Added Edge: (3, 18)
Added Edge: (3, 20)
Added Edge: (3, 28)
Added Edge: (3, 34)
Added Edge: (3, 36)
Added Edge: (3, 38)
Added Edge: (3, 41)
Added Edge: (3, 48)
Added Edge: (3, 50)
Added Edge: (3, 51)
Added Edge: (3, 53)
Added Edge: (3, 56)
Added Edge: (4, 11)
Added Edge: (4, 13)
Added Edge: (4, 21)
Added Edge: (4, 25)
Added Edge: (4, 28)
Added Edge: (4, 33)
Added Edge: (4, 36)
Added Edge: (4, 37)
Added Edge: (4, 42)
Added Edge: (4, 47)
Added Edge: (4, 48)
Added Edge: (4, 50)
Added Edge: (4, 53)
Added Edge: (4, 56)
Added Edge: (5, 7)
Added Edge: (5, 14)
Added Edge: (5, 16)
Added Edge: (5, 22)
Added Edge: (5, 26)
Added Edge: (5, 41)
Added Edge: (5, 51)
Added Edge: (5, 52)
Added Edge: (5, 58)
Added Edge: (6, 7)
Added Edge: (6, 8)
Added Edge: (6, 11)
Added Edge: (6, 19)
Added Edge: (6, 23)
Added Edge: (6, 25)
Added Edge: (6, 36)
Added Edge: (6, 49)
Added Edge: (6, 50)
Added Edge: (7, 8)
Added Edge: (7, 10)
Added Edge: (7, 16)
Added Edge: (7, 21)
Added Edge: (7, 27)
Added Edge: (7, 31)
Added Edge: (7, 50)
Added Edge: (7, 54)
Added Edge: (7, 58)
Added Edge: (8, 13)
Added Edge: (8, 19)
Added Edge: (8, 20)
Added Edge: (8, 21)
Added Edge: (8, 23)
Added Edge: (8, 29)
Added Edge: (8, 32)
Added Edge: (8, 34)
Added Edge: (8, 36)
Added Edge: (8, 39)
Added Edge: (8, 42)
Added Edge: (8, 43)
Added Edge: (8, 53)
Added Edge: (8, 56)
Added Edge: (8, 57)
Added Edge: (9, 19)
Added Edge: (9, 21)
Added Edge: (9, 22)
Added Edge: (9, 25)
Added Edge: (9, 26)
Added Edge: (9, 30)
Added Edge: (9, 33)
Added Edge: (9, 38)
Added Edge: (9, 44)
Added Edge: (9, 45)
Added Edge: (9, 46)
Added Edge: (9, 49)
Added Edge: (10, 13)
Added Edge: (10, 24)
Added Edge: (10, 25)
Added Edge: (10, 26)
Added Edge: (10, 31)
Added Edge: (10, 44)
Added Edge: (10, 53)
Added Edge: (10, 55)
Added Edge: (11, 15)
Added Edge: (11, 18)
Added Edge: (11, 21)
Added Edge: (11, 25)
Added Edge: (11, 31)
Added Edge: (11, 37)
Added Edge: (11, 39)
Added Edge: (11, 43)
Added Edge: (11, 55)
Added Edge: (11, 57)
Added Edge: (12, 14)
Added Edge: (12, 15)
Added Edge: (12, 24)
Added Edge: (12, 42)
Added Edge: (12, 50)
Added Edge: (12, 53)
Added Edge: (13, 14)
Added Edge: (13, 16)
Added Edge: (13, 20)
Added Edge: (13, 23)
Added Edge: (13, 25)
Added Edge: (13, 29)
Added Edge: (13, 30)
Added Edge: (13, 32)
Added Edge: (13, 38)
Added Edge: (13, 41)
Added Edge: (13, 43)
Added Edge: (13, 49)
Added Edge: (13, 53)
Added Edge: (13, 54)
Added Edge: (13, 55)
Added Edge: (14, 16)
Added Edge: (14, 20)
Added Edge: (14, 22)
Added Edge: (14, 23)
Added Edge: (14, 28)
Added Edge: (14, 29)
Added Edge: (14, 33)
Added Edge: (14, 34)
Added Edge: (15, 16)
Added Edge: (15, 22)
Added Edge: (15, 23)
Added Edge: (15, 27)
Added Edge: (15, 29)
Added Edge: (15, 33)
Added Edge: (15, 39)
Added Edge: (15, 42)
Added Edge: (15, 46)
Added Edge: (15, 49)
Added Edge: (15, 51)
Added Edge: (15, 58)
Added Edge: (16, 24)
Added Edge: (16, 26)
Added Edge: (16, 34)
Added Edge: (16, 42)
Added Edge: (16, 45)
Added Edge: (16, 47)
Added Edge: (16, 49)
Added Edge: (16, 51)
Added Edge: (17, 23)
Added Edge: (17, 24)
Added Edge: (17, 26)
Added Edge: (17, 33)
Added Edge: (17, 34)
Added Edge: (17, 35)
Added Edge: (17, 57)
Added Edge: (18, 25)
Added Edge: (18, 26)
Added Edge: (18, 34)
Added Edge: (18, 37)
Added Edge: (18, 39)
Added Edge: (18, 42)
Added Edge: (19, 21)
Added Edge: (19, 22)
Added Edge: (19, 26)
Added Edge: (19, 30)
Added Edge: (19, 33)
Added Edge: (19, 38)
Added Edge: (19, 43)
Added Edge: (19, 47)
Added Edge: (19, 50)
Added Edge: (19, 56)
Added Edge: (20, 22)
Added Edge: (20, 24)
Added Edge: (20, 25)
Added Edge: (20, 27)
Added Edge: (20, 34)
Added Edge: (20, 45)
Added Edge: (20, 48)
Added Edge: (20, 50)
Added Edge: (20, 53)
Added Edge: (21, 23)
Added Edge: (21, 24)
Added Edge: (21, 26)
Added Edge: (21, 29)
Added Edge: (21, 35)
Added Edge: (21, 39)
Added Edge: (21, 44)
Added Edge: (21, 47)
Added Edge: (21, 52)
Added Edge: (21, 57)
Added Edge: (22, 25)
Added Edge: (22, 26)
Added Edge: (22, 28)
Added Edge: (22, 29)
Added Edge: (22, 32)
Added Edge: (22, 33)
Added Edge: (22, 39)
Added Edge: (22, 41)
Added Edge: (22, 48)
Added Edge: (22, 55)
Added Edge: (23, 32)
Added Edge: (23, 35)
Added Edge: (23, 37)
Added Edge: (23, 41)
Added Edge: (23, 43)
Added Edge: (23, 44)
Added Edge: (23, 53)
Added Edge: (23, 59)
Added Edge: (24, 30)
Added Edge: (24, 36)
Added Edge: (24, 41)
Added Edge: (24, 43)
Added Edge: (24, 44)
Added Edge: (24, 45)
Added Edge: (24, 47)
Added Edge: (24, 52)
Added Edge: (24, 58)
Added Edge: (25, 26)
Added Edge: (25, 35)
Added Edge: (25, 39)
Added Edge: (25, 42)
Added Edge: (25, 45)
Added Edge: (25, 49)
Added Edge: (25, 50)
Added Edge: (25, 52)
Added Edge: (25, 53)
Added Edge: (25, 54)
Added Edge: (25, 56)
Added Edge: (25, 59)
Added Edge: (26, 28)
Added Edge: (26, 38)
Added Edge: (26, 52)
Added Edge: (26, 54)
Added Edge: (27, 34)
Added Edge: (27, 38)
Added Edge: (27, 47)
Added Edge: (27, 50)
Added Edge: (27, 52)
Added Edge: (27, 54)
Added Edge: (28, 35)
Added Edge: (28, 36)
Added Edge: (28, 38)
Added Edge: (28, 42)
Added Edge: (28, 43)
Added Edge: (28, 54)
Added Edge: (28, 56)
Added Edge: (29, 36)
Added Edge: (29, 39)
Added Edge: (29, 40)
Added Edge: (29, 41)
Added Edge: (29, 48)
Added Edge: (29, 58)
Added Edge: (30, 34)
Added Edge: (30, 41)
Added Edge: (30, 47)
Added Edge: (30, 53)
Added Edge: (31, 38)
Added Edge: (31, 41)
Added Edge: (31, 43)
Added Edge: (31, 44)
Added Edge: (31, 49)
Added Edge: (31, 58)
Added Edge: (31, 59)
Added Edge: (32, 35)
Added Edge: (32, 37)
Added Edge: (32, 39)
Added Edge: (32, 43)
Added Edge: (32, 46)
Added Edge: (32, 47)
Added Edge: (32, 52)
Added Edge: (32, 55)
Added Edge: (33, 35)
Added Edge: (33, 38)
Added Edge: (33, 46)
Added Edge: (33, 48)
Added Edge: (33, 49)
Added Edge: (33, 57)
Added Edge: (34, 39)
Added Edge: (34, 41)
Added Edge: (34, 46)
Added Edge: (34, 50)
Added Edge: (34, 51)
Added Edge: (34, 54)
Added Edge: (35, 36)
Added Edge: (35, 40)
Added Edge: (35, 41)
Added Edge: (35, 42)
Added Edge: (35, 47)
Added Edge: (35, 49)
Added Edge: (35, 51)
Added Edge: (35, 59)
Added Edge: (36, 38)
Added Edge: (36, 41)
Added Edge: (36, 42)
Added Edge: (36, 43)
Added Edge: (36, 49)
Added Edge: (36, 53)
Added Edge: (36, 56)
Added Edge: (37, 41)
Added Edge: (37, 45)
Added Edge: (37, 48)
Added Edge: (37, 51)
Added Edge: (37, 53)
Added Edge: (37, 55)
Added Edge: (37, 58)
Added Edge: (38, 40)
Added Edge: (38, 42)
Added Edge: (38, 44)
Added Edge: (38, 50)
Added Edge: (39, 42)
Added Edge: (39, 44)
Added Edge: (39, 45)
Added Edge: (39, 52)
Added Edge: (39, 54)
Added Edge: (40, 52)
Added Edge: (41, 51)
Added Edge: (42, 44)
Added Edge: (42, 47)
Added Edge: (42, 48)
Added Edge: (42, 59)
Added Edge: (43, 54)
Added Edge: (43, 57)
Added Edge: (44, 45)
Added Edge: (44, 46)
Added Edge: (44, 49)
Added Edge: (44, 50)
Added Edge: (44, 51)
Added Edge: (44, 54)
Added Edge: (45, 59)
Added Edge: (46, 49)
Added Edge: (46, 55)
Added Edge: (46, 56)
Added Edge: (47, 48)
Added Edge: (47, 56)
Added Edge: (47, 57)
Added Edge: (48, 52)
Added Edge: (48, 57)
Added Edge: (50, 54)
Added Edge: (50, 55)
Added Edge: (51, 53)
Added Edge: (51, 54)
Added Edge: (57, 59)
========================
